datetime,conditions,quarter
26/5/2005,Partially cloudy,2
27/5/2005,Partially cloudy,2
28/5/2005,Partially cloudy,2
29/5/2005,Partially cloudy,2
30/5/2005,Partially cloudy,2
31/5/2005,Partially cloudy,2
1/6/2005,Partially cloudy,2
2/6/2005,Overcast,2
3/6/2005,Partially cloudy,2
4/6/2005,Partially cloudy,2
5/6/2005,Partially cloudy,2
6/6/2005,Partially cloudy,2
7/6/2005,Clear,2
8/6/2005,Clear,2
9/6/2005,Partially cloudy,2
10/6/2005,Partially cloudy,2
11/6/2005,Partially cloudy,2
12/6/2005,Partially cloudy,2
13/6/2005,Partially cloudy,2
14/6/2005,Partially cloudy,2
15/6/2005,Partially cloudy,2
16/6/2005,Partially cloudy,2
17/6/2005,Partially cloudy,2
18/6/2005,Clear,2
19/6/2005,Clear,2
20/6/2005,Clear,2
21/6/2005,Clear,2
22/6/2005,Clear,2
23/6/2005,Clear,2
24/6/2005,Clear,2
25/6/2005,Clear,2
26/6/2005,Clear,2
27/6/2005,Partially cloudy,2
28/6/2005,Partially cloudy,2
29/6/2005,Clear,2
30/6/2005,Partially cloudy,2
1/7/2005,Partially cloudy,3
2/7/2005,Partially cloudy,3
3/7/2005,Partially cloudy,3
4/7/2005,Partially cloudy,3
5/7/2005,Partially cloudy,3
6/7/2005,Partially cloudy,3
7/7/2005,Partially cloudy,3
8/7/2005,Partially cloudy,3
9/7/2005,Partially cloudy,3
10/7/2005,Partially cloudy,3
11/7/2005,Partially cloudy,3
12/7/2005,Partially cloudy,3
13/7/2005,Partially cloudy,3
14/7/2005,Partially cloudy,3
15/7/2005,Partially cloudy,3
16/7/2005,Partially cloudy,3
17/7/2005,Partially cloudy,3
18/7/2005,Partially cloudy,3
19/7/2005,Clear,3
20/7/2005,Partially cloudy,3
21/7/2005,Partially cloudy,3
22/7/2005,Clear,3
23/7/2005,Clear,3
24/7/2005,Partially cloudy,3
25/7/2005,Clear,3
26/7/2005,Clear,3
27/7/2005,Partially cloudy,3
28/7/2005,Clear,3
29/7/2005,Clear,3
30/7/2005,Clear,3
31/7/2005,Partially cloudy,3
1/8/2005,Partially cloudy,3
2/8/2005,Partially cloudy,3
3/8/2005,Partially cloudy,3
4/8/2005,Partially cloudy,3
5/8/2005,Partially cloudy,3
6/8/2005,Partially cloudy,3
7/8/2005,Partially cloudy,3
8/8/2005,Partially cloudy,3
9/8/2005,Partially cloudy,3
10/8/2005,Clear,3
11/8/2005,"Rain, Partially cloudy",3
12/8/2005,Partially cloudy,3
13/8/2005,Partially cloudy,3
14/8/2005,Partially cloudy,3
15/8/2005,"Rain, Partially cloudy",3
16/8/2005,Partially cloudy,3
17/8/2005,Clear,3
18/8/2005,Partially cloudy,3
19/8/2005,Clear,3
20/8/2005,Partially cloudy,3
21/8/2005,Partially cloudy,3
22/8/2005,Clear,3
23/8/2005,Partially cloudy,3
24/8/2005,Partially cloudy,3
25/8/2005,Clear,3
26/8/2005,Clear,3
27/8/2005,Clear,3
28/8/2005,Clear,3
29/8/2005,Clear,3
30/8/2005,Clear,3
31/8/2005,Partially cloudy,3
1/9/2005,Partially cloudy,3
2/9/2005,Partially cloudy,3
3/9/2005,Clear,3
4/9/2005,Clear,3
5/9/2005,Clear,3
6/9/2005,Clear,3
7/9/2005,Rain,3
8/9/2005,Clear,3
9/9/2005,Partially cloudy,3
10/9/2005,Partially cloudy,3
11/9/2005,Partially cloudy,3
12/9/2005,Clear,3
13/9/2005,Partially cloudy,3
14/9/2005,Partially cloudy,3
15/9/2005,Partially cloudy,3
16/9/2005,Partially cloudy,3
17/9/2005,Clear,3
18/9/2005,Partially cloudy,3
19/9/2005,"Rain, Partially cloudy",3
20/9/2005,"Rain, Partially cloudy",3
21/9/2005,Rain,3
22/9/2005,Clear,3
23/9/2005,Partially cloudy,3
24/9/2005,Partially cloudy,3
25/9/2005,Partially cloudy,3
26/9/2005,Partially cloudy,3
27/9/2005,Rain,3
28/9/2005,Clear,3
29/9/2005,Clear,3
30/9/2005,Clear,3
1/10/2005,Partially cloudy,4
2/10/2005,Partially cloudy,4
3/10/2005,Clear,4
4/10/2005,Clear,4
5/10/2005,Clear,4
6/10/2005,Clear,4
7/10/2005,Clear,4
8/10/2005,Partially cloudy,4
9/10/2005,Clear,4
10/10/2005,Clear,4
11/10/2005,Partially cloudy,4
12/10/2005,Clear,4
13/10/2005,Rain,4
14/10/2005,Clear,4
15/10/2005,Partially cloudy,4
16/10/2005,"Rain, Partially cloudy",4
17/10/2005,"Rain, Partially cloudy",4
18/10/2005,"Rain, Partially cloudy",4
19/10/2005,Partially cloudy,4
20/10/2005,Rain,4
21/10/2005,Partially cloudy,4
22/10/2005,Overcast,4
23/10/2005,Partially cloudy,4
24/10/2005,"Rain, Overcast",4
25/10/2005,"Rain, Partially cloudy",4
26/10/2005,"Rain, Partially cloudy",4
27/10/2005,Partially cloudy,4
28/10/2005,Partially cloudy,4
29/10/2005,Clear,4
30/10/2005,Clear,4
31/10/2005,Clear,4
1/11/2005,Partially cloudy,4
2/11/2005,Partially cloudy,4
3/11/2005,Partially cloudy,4
4/11/2005,Clear,4
5/11/2005,Clear,4
6/11/2005,Partially cloudy,4
7/11/2005,Partially cloudy,4
8/11/2005,Partially cloudy,4
9/11/2005,"Rain, Overcast",4
10/11/2005,"Rain, Partially cloudy",4
11/11/2005,Partially cloudy,4
12/11/2005,Rain,4
13/11/2005,Rain,4
14/11/2005,"Rain, Partially cloudy",4
15/11/2005,Clear,4
16/11/2005,Clear,4
17/11/2005,Clear,4
18/11/2005,Clear,4
19/11/2005,Clear,4
20/11/2005,Clear,4
21/11/2005,Partially cloudy,4
22/11/2005,Partially cloudy,4
23/11/2005,Partially cloudy,4
24/11/2005,Partially cloudy,4
25/11/2005,"Rain, Partially cloudy",4
26/11/2005,Partially cloudy,4
27/11/2005,Clear,4
28/11/2005,Clear,4
29/11/2005,Partially cloudy,4
30/11/2005,Partially cloudy,4
1/12/2005,Partially cloudy,4
2/12/2005,"Rain, Overcast",4
3/12/2005,Clear,4
4/12/2005,Clear,4
5/12/2005,Clear,4
6/12/2005,Clear,4
7/12/2005,Partially cloudy,4
8/12/2005,Partially cloudy,4
9/12/2005,"Rain, Partially cloudy",4
10/12/2005,Partially cloudy,4
11/12/2005,Partially cloudy,4
12/12/2005,"Rain, Partially cloudy",4
13/12/2005,Partially cloudy,4
14/12/2005,Partially cloudy,4
15/12/2005,Partially cloudy,4
16/12/2005,Partially cloudy,4
17/12/2005,Partially cloudy,4
18/12/2005,Partially cloudy,4
19/12/2005,Partially cloudy,4
20/12/2005,Partially cloudy,4
21/12/2005,Partially cloudy,4
22/12/2005,Partially cloudy,4
23/12/2005,Partially cloudy,4
24/12/2005,"Rain, Partially cloudy",4
25/12/2005,Partially cloudy,4
26/12/2005,"Rain, Partially cloudy",4
27/12/2005,"Rain, Partially cloudy",4
28/12/2005,"Rain, Partially cloudy",4
29/12/2005,Partially cloudy,4
30/12/2005,Partially cloudy,4
31/12/2005,"Rain, Partially cloudy",4
1/1/2006,"Rain, Overcast",1
2/1/2006,"Rain, Overcast",1
3/1/2006,Partially cloudy,1
4/1/2006,Rain,1
5/1/2006,Clear,1
6/1/2006,Clear,1
7/1/2006,Clear,1
8/1/2006,Clear,1
9/1/2006,Rain,1
10/1/2006,Clear,1
11/1/2006,Clear,1
12/1/2006,Clear,1
13/1/2006,"Rain, Partially cloudy",1
14/1/2006,"Rain, Partially cloudy",1
15/1/2006,Rain,1
16/1/2006,Clear,1
17/1/2006,Clear,1
18/1/2006,Partially cloudy,1
19/1/2006,Clear,1
20/1/2006,Clear,1
21/1/2006,Clear,1
22/1/2006,Clear,1
23/1/2006,Clear,1
24/1/2006,Clear,1
25/1/2006,Partially cloudy,1
26/1/2006,Partially cloudy,1
27/1/2006,Clear,1
28/1/2006,Clear,1
29/1/2006,Rain,1
30/1/2006,Partially cloudy,1
31/1/2006,Partially cloudy,1
1/2/2006,Clear,1
2/2/2006,Clear,1
3/2/2006,"Rain, Partially cloudy",1
4/2/2006,Partially cloudy,1
5/2/2006,Clear,1
6/2/2006,Rain,1
7/2/2006,Clear,1
8/2/2006,Clear,1
9/2/2006,Clear,1
10/2/2006,Partially cloudy,1
11/2/2006,Partially cloudy,1
12/2/2006,Clear,1
13/2/2006,Clear,1
14/2/2006,Partially cloudy,1
15/2/2006,Partially cloudy,1
16/2/2006,Partially cloudy,1
17/2/2006,"Rain, Partially cloudy",1
18/2/2006,"Rain, Partially cloudy",1
19/2/2006,"Rain, Partially cloudy",1
20/2/2006,Clear,1
21/2/2006,Clear,1
22/2/2006,Clear,1
23/2/2006,Clear,1
24/2/2006,Partially cloudy,1
25/2/2006,Partially cloudy,1
26/2/2006,Partially cloudy,1
27/2/2006,"Rain, Overcast",1
28/2/2006,"Rain, Partially cloudy",1
1/3/2006,Clear,1
2/3/2006,Clear,1
3/3/2006,"Rain, Partially cloudy",1
4/3/2006,Clear,1
5/3/2006,Clear,1
6/3/2006,"Rain, Partially cloudy",1
7/3/2006,"Rain, Partially cloudy",1
8/3/2006,Clear,1
9/3/2006,Partially cloudy,1
10/3/2006,"Rain, Partially cloudy",1
11/3/2006,"Rain, Partially cloudy",1
12/3/2006,"Rain, Partially cloudy",1
13/3/2006,Rain,1
14/3/2006,Clear,1
15/3/2006,Clear,1
16/3/2006,Clear,1
17/3/2006,"Rain, Partially cloudy",1
18/3/2006,"Rain, Partially cloudy",1
19/3/2006,Partially cloudy,1
20/3/2006,"Rain, Partially cloudy",1
21/3/2006,Clear,1
22/3/2006,Rain,1
23/3/2006,Clear,1
24/3/2006,Clear,1
25/3/2006,"Rain, Partially cloudy",1
26/3/2006,Partially cloudy,1
27/3/2006,"Rain, Partially cloudy",1
28/3/2006,"Rain, Overcast",1
29/3/2006,"Rain, Partially cloudy",1
30/3/2006,Partially cloudy,1
31/3/2006,"Rain, Partially cloudy",1
1/4/2006,"Rain, Partially cloudy",2
2/4/2006,Clear,2
3/4/2006,"Rain, Partially cloudy",2
4/4/2006,"Rain, Overcast",2
5/4/2006,"Rain, Partially cloudy",2
6/4/2006,Clear,2
7/4/2006,Clear,2
8/4/2006,Partially cloudy,2
9/4/2006,Partially cloudy,2
10/4/2006,Partially cloudy,2
11/4/2006,"Rain, Partially cloudy",2
12/4/2006,Clear,2
13/4/2006,Clear,2
14/4/2006,"Rain, Partially cloudy",2
15/4/2006,"Rain, Partially cloudy",2
16/4/2006,Partially cloudy,2
17/4/2006,Clear,2
18/4/2006,Clear,2
19/4/2006,Clear,2
20/4/2006,Clear,2
21/4/2006,Partially cloudy,2
22/4/2006,"Rain, Overcast",2
23/4/2006,"Rain, Partially cloudy",2
24/4/2006,Clear,2
25/4/2006,Partially cloudy,2
26/4/2006,"Rain, Partially cloudy",2
27/4/2006,Partially cloudy,2
28/4/2006,Partially cloudy,2
29/4/2006,Partially cloudy,2
30/4/2006,Partially cloudy,2
1/5/2006,Partially cloudy,2
2/5/2006,Overcast,2
3/5/2006,Overcast,2
4/5/2006,Partially cloudy,2
5/5/2006,Partially cloudy,2
6/5/2006,Partially cloudy,2
7/5/2006,Partially cloudy,2
8/5/2006,Partially cloudy,2
9/5/2006,Partially cloudy,2
10/5/2006,Partially cloudy,2
11/5/2006,Overcast,2
12/5/2006,Partially cloudy,2
13/5/2006,Partially cloudy,2
14/5/2006,Partially cloudy,2
15/5/2006,Partially cloudy,2
16/5/2006,Partially cloudy,2
17/5/2006,Partially cloudy,2
18/5/2006,Partially cloudy,2
19/5/2006,Partially cloudy,2
20/5/2006,Partially cloudy,2
21/5/2006,"Rain, Partially cloudy",2
22/5/2006,"Rain, Partially cloudy",2
23/5/2006,Clear,2
24/5/2006,Clear,2
25/5/2006,Clear,2
26/5/2006,Partially cloudy,2
27/5/2006,Partially cloudy,2
28/5/2006,Clear,2
29/5/2006,Clear,2
30/5/2006,Clear,2
31/5/2006,Clear,2
1/6/2006,Partially cloudy,2
2/6/2006,Clear,2
3/6/2006,Clear,2
4/6/2006,Clear,2
5/6/2006,"Rain, Partially cloudy",2
6/6/2006,Partially cloudy,2
7/6/2006,Overcast,2
8/6/2006,"Rain, Overcast",2
9/6/2006,"Rain, Partially cloudy",2
10/6/2006,Partially cloudy,2
11/6/2006,Partially cloudy,2
12/6/2006,Partially cloudy,2
13/6/2006,Clear,2
14/6/2006,Clear,2
15/6/2006,Clear,2
16/6/2006,Clear,2
17/6/2006,Partially cloudy,2
18/6/2006,Partially cloudy,2
19/6/2006,Partially cloudy,2
20/6/2006,Partially cloudy,2
21/6/2006,Partially cloudy,2
22/6/2006,Partially cloudy,2
23/6/2006,Partially cloudy,2
24/6/2006,Partially cloudy,2
25/6/2006,Clear,2
26/6/2006,Rain,2
27/6/2006,Partially cloudy,2
28/6/2006,Clear,2
29/6/2006,Clear,2
30/6/2006,Clear,2
1/7/2006,Clear,3
2/7/2006,Clear,3
3/7/2006,Clear,3
4/7/2006,Clear,3
5/7/2006,Clear,3
6/7/2006,Clear,3
7/7/2006,Clear,3
8/7/2006,Clear,3
9/7/2006,Partially cloudy,3
10/7/2006,Partially cloudy,3
11/7/2006,Clear,3
12/7/2006,Clear,3
13/7/2006,Clear,3
14/7/2006,Clear,3
15/7/2006,Clear,3
16/7/2006,Clear,3
17/7/2006,Partially cloudy,3
18/7/2006,Partially cloudy,3
19/7/2006,Partially cloudy,3
20/7/2006,Partially cloudy,3
21/7/2006,Clear,3
22/7/2006,Clear,3
23/7/2006,Rain,3
24/7/2006,Clear,3
25/7/2006,Partially cloudy,3
26/7/2006,Clear,3
27/7/2006,Partially cloudy,3
28/7/2006,Partially cloudy,3
29/7/2006,Overcast,3
30/7/2006,Partially cloudy,3
31/7/2006,Partially cloudy,3
1/8/2006,Partially cloudy,3
2/8/2006,Partially cloudy,3
3/8/2006,Partially cloudy,3
4/8/2006,"Rain, Partially cloudy",3
5/8/2006,Partially cloudy,3
6/8/2006,Clear,3
7/8/2006,Partially cloudy,3
8/8/2006,Clear,3
9/8/2006,Clear,3
10/8/2006,Clear,3
11/8/2006,Partially cloudy,3
12/8/2006,Partially cloudy,3
13/8/2006,Partially cloudy,3
14/8/2006,Partially cloudy,3
15/8/2006,Partially cloudy,3
16/8/2006,Partially cloudy,3
17/8/2006,Partially cloudy,3
18/8/2006,Partially cloudy,3
19/8/2006,Partially cloudy,3
20/8/2006,Partially cloudy,3
21/8/2006,Clear,3
22/8/2006,Clear,3
23/8/2006,Clear,3
24/8/2006,Clear,3
25/8/2006,Clear,3
26/8/2006,Partially cloudy,3
27/8/2006,Clear,3
28/8/2006,Clear,3
29/8/2006,Clear,3
30/8/2006,Partially cloudy,3
31/8/2006,Clear,3
1/9/2006,Clear,3
2/9/2006,Clear,3
3/9/2006,Clear,3
4/9/2006,Clear,3
5/9/2006,Clear,3
6/9/2006,Clear,3
7/9/2006,Partially cloudy,3
8/9/2006,Partially cloudy,3
9/9/2006,Partially cloudy,3
10/9/2006,Partially cloudy,3
11/9/2006,Partially cloudy,3
12/9/2006,Partially cloudy,3
13/9/2006,Partially cloudy,3
14/9/2006,Partially cloudy,3
15/9/2006,Partially cloudy,3
16/9/2006,Clear,3
17/9/2006,Clear,3
18/9/2006,Clear,3
19/9/2006,Clear,3
20/9/2006,Partially cloudy,3
21/9/2006,Clear,3
22/9/2006,Overcast,3
23/9/2006,Clear,3
24/9/2006,Clear,3
25/9/2006,Partially cloudy,3
26/9/2006,Partially cloudy,3
27/9/2006,Partially cloudy,3
28/9/2006,Rain,3
29/9/2006,Clear,3
30/9/2006,"Rain, Partially cloudy",3
1/10/2006,"Rain, Partially cloudy",4
2/10/2006,"Rain, Partially cloudy",4
3/10/2006,Clear,4
4/10/2006,Clear,4
5/10/2006,Clear,4
6/10/2006,Partially cloudy,4
7/10/2006,Partially cloudy,4
8/10/2006,Partially cloudy,4
9/10/2006,Partially cloudy,4
10/10/2006,Partially cloudy,4
11/10/2006,Clear,4
12/10/2006,Clear,4
13/10/2006,"Rain, Partially cloudy",4
14/10/2006,"Rain, Partially cloudy",4
15/10/2006,Overcast,4
16/10/2006,Partially cloudy,4
17/10/2006,Partially cloudy,4
18/10/2006,Clear,4
19/10/2006,Clear,4
20/10/2006,Clear,4
21/10/2006,Clear,4
22/10/2006,Rain,4
23/10/2006,Clear,4
24/10/2006,Partially cloudy,4
25/10/2006,Partially cloudy,4
26/10/2006,Clear,4
27/10/2006,Clear,4
28/10/2006,Clear,4
29/10/2006,Clear,4
30/10/2006,Partially cloudy,4
31/10/2006,Partially cloudy,4
1/11/2006,Clear,4
2/11/2006,Partially cloudy,4
3/11/2006,Partially cloudy,4
4/11/2006,Rain,4
5/11/2006,Clear,4
6/11/2006,Clear,4
7/11/2006,Clear,4
8/11/2006,Clear,4
9/11/2006,Clear,4
10/11/2006,Clear,4
11/11/2006,Partially cloudy,4
12/11/2006,Clear,4
13/11/2006,Clear,4
14/11/2006,Partially cloudy,4
15/11/2006,Clear,4
16/11/2006,Clear,4
17/11/2006,Clear,4
18/11/2006,Clear,4
19/11/2006,Rain,4
20/11/2006,Clear,4
21/11/2006,Partially cloudy,4
22/11/2006,Partially cloudy,4
23/11/2006,Clear,4
24/11/2006,Partially cloudy,4
25/11/2006,Partially cloudy,4
26/11/2006,Partially cloudy,4
27/11/2006,"Rain, Partially cloudy",4
28/11/2006,Clear,4
29/11/2006,Clear,4
30/11/2006,Clear,4
1/12/2006,Clear,4
2/12/2006,Clear,4
3/12/2006,Clear,4
4/12/2006,Clear,4
5/12/2006,Clear,4
6/12/2006,Rain,4
7/12/2006,Rain,4
8/12/2006,Partially cloudy,4
9/12/2006,"Rain, Partially cloudy",4
10/12/2006,"Rain, Partially cloudy",4
11/12/2006,Rain,4
12/12/2006,Clear,4
13/12/2006,Clear,4
14/12/2006,Clear,4
15/12/2006,"Rain, Partially cloudy",4
16/12/2006,"Rain, Partially cloudy",4
17/12/2006,"Rain, Partially cloudy",4
18/12/2006,Clear,4
19/12/2006,Clear,4
20/12/2006,Clear,4
21/12/2006,Clear,4
22/12/2006,"Rain, Partially cloudy",4
23/12/2006,Clear,4
24/12/2006,Clear,4
25/12/2006,Clear,4
26/12/2006,Clear,4
27/12/2006,"Rain, Partially cloudy",4
28/12/2006,Clear,4
29/12/2006,Clear,4
30/12/2006,Clear,4
31/12/2006,Partially cloudy,4
1/1/2007,Clear,1
2/1/2007,Clear,1
3/1/2007,Clear,1
4/1/2007,"Rain, Partially cloudy",1
5/1/2007,Clear,1
6/1/2007,Clear,1
7/1/2007,Clear,1
8/1/2007,Clear,1
9/1/2007,Clear,1
10/1/2007,Partially cloudy,1
11/1/2007,Overcast,1
12/1/2007,Partially cloudy,1
13/1/2007,Clear,1
14/1/2007,Clear,1
15/1/2007,Clear,1
16/1/2007,Clear,1
17/1/2007,"Rain, Partially cloudy",1
18/1/2007,Clear,1
19/1/2007,Clear,1
20/1/2007,Partially cloudy,1
21/1/2007,Clear,1
22/1/2007,Clear,1
23/1/2007,Clear,1
24/1/2007,Clear,1
25/1/2007,Clear,1
26/1/2007,Partially cloudy,1
27/1/2007,"Rain, Overcast",1
28/1/2007,"Rain, Partially cloudy",1
29/1/2007,Partially cloudy,1
30/1/2007,"Rain, Partially cloudy",1
31/1/2007,"Rain, Partially cloudy",1
1/2/2007,Partially cloudy,1
2/2/2007,Clear,1
3/2/2007,Clear,1
4/2/2007,Clear,1
5/2/2007,Clear,1
6/2/2007,Clear,1
7/2/2007,"Rain, Partially cloudy",1
8/2/2007,Partially cloudy,1
9/2/2007,Clear,1
10/2/2007,"Rain, Partially cloudy",1
11/2/2007,"Rain, Partially cloudy",1
12/2/2007,"Rain, Partially cloudy",1
13/2/2007,"Rain, Partially cloudy",1
14/2/2007,Clear,1
15/2/2007,Clear,1
16/2/2007,Clear,1
17/2/2007,Clear,1
18/2/2007,"Rain, Partially cloudy",1
19/2/2007,"Rain, Partially cloudy",1
20/2/2007,Partially cloudy,1
21/2/2007,Rain,1
22/2/2007,"Rain, Partially cloudy",1
23/2/2007,Partially cloudy,1
24/2/2007,Clear,1
25/2/2007,Partially cloudy,1
26/2/2007,Partially cloudy,1
27/2/2007,"Rain, Partially cloudy",1
28/2/2007,"Rain, Partially cloudy",1
1/3/2007,Clear,1
2/3/2007,Clear,1
3/3/2007,Clear,1
4/3/2007,Clear,1
5/3/2007,Clear,1
6/3/2007,Clear,1
7/3/2007,Clear,1
8/3/2007,Clear,1
9/3/2007,Partially cloudy,1
10/3/2007,Partially cloudy,1
11/3/2007,Clear,1
12/3/2007,Clear,1
13/3/2007,Clear,1
14/3/2007,Partially cloudy,1
15/3/2007,Partially cloudy,1
16/3/2007,Partially cloudy,1
17/3/2007,Partially cloudy,1
18/3/2007,Overcast,1
19/3/2007,Partially cloudy,1
20/3/2007,"Rain, Overcast",1
21/3/2007,"Rain, Partially cloudy",1
22/3/2007,Clear,1
23/3/2007,Clear,1
24/3/2007,Partially cloudy,1
25/3/2007,Partially cloudy,1
26/3/2007,Overcast,1
27/3/2007,"Rain, Partially cloudy",1
28/3/2007,Clear,1
29/3/2007,Clear,1
30/3/2007,Clear,1
31/3/2007,Clear,1
1/4/2007,Partially cloudy,2
2/4/2007,Partially cloudy,2
3/4/2007,Partially cloudy,2
4/4/2007,Partially cloudy,2
5/4/2007,Partially cloudy,2
6/4/2007,Partially cloudy,2
7/4/2007,Overcast,2
8/4/2007,Overcast,2
9/4/2007,Partially cloudy,2
10/4/2007,Clear,2
11/4/2007,Partially cloudy,2
12/4/2007,Clear,2
13/4/2007,Clear,2
14/4/2007,Partially cloudy,2
15/4/2007,"Rain, Partially cloudy",2
16/4/2007,Partially cloudy,2
17/4/2007,Partially cloudy,2
18/4/2007,Partially cloudy,2
19/4/2007,Clear,2
20/4/2007,"Rain, Partially cloudy",2
21/4/2007,Rain,2
22/4/2007,"Rain, Partially cloudy",2
23/4/2007,"Rain, Partially cloudy",2
24/4/2007,Clear,2
25/4/2007,Clear,2
26/4/2007,Partially cloudy,2
27/4/2007,Clear,2
28/4/2007,Partially cloudy,2
29/4/2007,Partially cloudy,2
30/4/2007,Partially cloudy,2
1/5/2007,Partially cloudy,2
2/5/2007,Partially cloudy,2
3/5/2007,Clear,2
4/5/2007,Partially cloudy,2
5/5/2007,Clear,2
6/5/2007,Clear,2
7/5/2007,Clear,2
8/5/2007,Clear,2
9/5/2007,Clear,2
10/5/2007,Partially cloudy,2
11/5/2007,Clear,2
12/5/2007,Partially cloudy,2
13/5/2007,Clear,2
14/5/2007,Partially cloudy,2
15/5/2007,Partially cloudy,2
16/5/2007,Partially cloudy,2
17/5/2007,Partially cloudy,2
18/5/2007,Partially cloudy,2
19/5/2007,Partially cloudy,2
20/5/2007,Partially cloudy,2
21/5/2007,Overcast,2
22/5/2007,Partially cloudy,2
23/5/2007,Partially cloudy,2
24/5/2007,Partially cloudy,2
25/5/2007,Partially cloudy,2
26/5/2007,Partially cloudy,2
27/5/2007,Partially cloudy,2
28/5/2007,Partially cloudy,2
29/5/2007,Partially cloudy,2
30/5/2007,Partially cloudy,2
31/5/2007,Partially cloudy,2
1/6/2007,Partially cloudy,2
2/6/2007,Partially cloudy,2
3/6/2007,Overcast,2
4/6/2007,Partially cloudy,2
5/6/2007,Partially cloudy,2
6/6/2007,Clear,2
7/6/2007,Clear,2
8/6/2007,Clear,2
9/6/2007,Partially cloudy,2
10/6/2007,Partially cloudy,2
11/6/2007,Partially cloudy,2
12/6/2007,Partially cloudy,2
13/6/2007,Partially cloudy,2
14/6/2007,Partially cloudy,2
15/6/2007,Partially cloudy,2
16/6/2007,Partially cloudy,2
17/6/2007,Partially cloudy,2
18/6/2007,Partially cloudy,2
19/6/2007,Partially cloudy,2
20/6/2007,Partially cloudy,2
21/6/2007,Clear,2
22/6/2007,Clear,2
23/6/2007,Partially cloudy,2
24/6/2007,Partially cloudy,2
25/6/2007,Partially cloudy,2
26/6/2007,Clear,2
27/6/2007,Clear,2
28/6/2007,Clear,2
29/6/2007,Clear,2
30/6/2007,Clear,2
1/7/2007,Clear,3
2/7/2007,Clear,3
3/7/2007,Clear,3
4/7/2007,Partially cloudy,3
5/7/2007,Partially cloudy,3
6/7/2007,Partially cloudy,3
7/7/2007,Partially cloudy,3
8/7/2007,Partially cloudy,3
9/7/2007,Partially cloudy,3
10/7/2007,Partially cloudy,3
11/7/2007,Partially cloudy,3
12/7/2007,Clear,3
13/7/2007,Clear,3
14/7/2007,Clear,3
15/7/2007,Clear,3
16/7/2007,Partially cloudy,3
17/7/2007,Partially cloudy,3
18/7/2007,Clear,3
19/7/2007,Clear,3
20/7/2007,Partially cloudy,3
21/7/2007,Partially cloudy,3
22/7/2007,Partially cloudy,3
23/7/2007,Rain,3
24/7/2007,Partially cloudy,3
25/7/2007,Clear,3
26/7/2007,Clear,3
27/7/2007,Clear,3
28/7/2007,Clear,3
29/7/2007,Clear,3
30/7/2007,Partially cloudy,3
31/7/2007,Partially cloudy,3
1/8/2007,Partially cloudy,3
2/8/2007,Partially cloudy,3
3/8/2007,Partially cloudy,3
4/8/2007,Partially cloudy,3
5/8/2007,Partially cloudy,3
6/8/2007,Partially cloudy,3
7/8/2007,Partially cloudy,3
8/8/2007,Clear,3
9/8/2007,Clear,3
10/8/2007,Partially cloudy,3
11/8/2007,Partially cloudy,3
12/8/2007,Clear,3
13/8/2007,Clear,3
14/8/2007,Clear,3
15/8/2007,Clear,3
16/8/2007,Clear,3
17/8/2007,Clear,3
18/8/2007,Clear,3
19/8/2007,Clear,3
20/8/2007,Clear,3
21/8/2007,Clear,3
22/8/2007,Clear,3
23/8/2007,Partially cloudy,3
24/8/2007,Partially cloudy,3
25/8/2007,Clear,3
26/8/2007,Clear,3
27/8/2007,Clear,3
28/8/2007,Clear,3
29/8/2007,Clear,3
30/8/2007,Clear,3
31/8/2007,Clear,3
1/9/2007,Clear,3
2/9/2007,Clear,3
3/9/2007,Clear,3
4/9/2007,Clear,3
5/9/2007,Partially cloudy,3
6/9/2007,Partially cloudy,3
7/9/2007,Partially cloudy,3
8/9/2007,Clear,3
9/9/2007,Clear,3
10/9/2007,Clear,3
11/9/2007,Clear,3
12/9/2007,Clear,3
13/9/2007,Clear,3
14/9/2007,Clear,3
15/9/2007,Clear,3
16/9/2007,Clear,3
17/9/2007,Partially cloudy,3
18/9/2007,Clear,3
19/9/2007,Partially cloudy,3
20/9/2007,Partially cloudy,3
21/9/2007,"Rain, Partially cloudy",3
22/9/2007,"Rain, Partially cloudy",3
23/9/2007,Clear,3
24/9/2007,Clear,3
25/9/2007,Clear,3
26/9/2007,Clear,3
27/9/2007,Partially cloudy,3
28/9/2007,Partially cloudy,3
29/9/2007,Partially cloudy,3
30/9/2007,Clear,3
1/10/2007,Clear,4
2/10/2007,Clear,4
3/10/2007,Clear,4
4/10/2007,Partially cloudy,4
5/10/2007,Partially cloudy,4
6/10/2007,Clear,4
7/10/2007,Clear,4
8/10/2007,Clear,4
9/10/2007,Clear,4
10/10/2007,Clear,4
11/10/2007,Clear,4
12/10/2007,"Rain, Partially cloudy",4
13/10/2007,"Rain, Partially cloudy",4
14/10/2007,Partially cloudy,4
15/10/2007,Overcast,4
16/10/2007,Partially cloudy,4
17/10/2007,"Rain, Partially cloudy",4
18/10/2007,Clear,4
19/10/2007,Clear,4
20/10/2007,Clear,4
21/10/2007,Clear,4
22/10/2007,Clear,4
23/10/2007,Partially cloudy,4
24/10/2007,Clear,4
25/10/2007,Clear,4
26/10/2007,Clear,4
27/10/2007,Partially cloudy,4
28/10/2007,Clear,4
29/10/2007,Clear,4
30/10/2007,Clear,4
31/10/2007,Clear,4
1/11/2007,Partially cloudy,4
2/11/2007,Partially cloudy,4
3/11/2007,Partially cloudy,4
