datetime,conditions,quarter
18/10/2000,Partially cloudy,4
19/10/2000,Partially cloudy,4
20/10/2000,Partially cloudy,4
21/10/2000,Partially cloudy,4
22/10/2000,Clear,4
23/10/2000,Partially cloudy,4
24/10/2000,Partially cloudy,4
25/10/2000,Partially cloudy,4
26/10/2000,"Rain, Partially cloudy",4
27/10/2000,"Rain, Partially cloudy",4
28/10/2000,Partially cloudy,4
29/10/2000,"Rain, Partially cloudy",4
30/10/2000,Clear,4
31/10/2000,Clear,4
1/11/2000,Partially cloudy,4
2/11/2000,Partially cloudy,4
3/11/2000,Clear,4
4/11/2000,Clear,4
5/11/2000,Partially cloudy,4
6/11/2000,Partially cloudy,4
7/11/2000,Clear,4
8/11/2000,Clear,4
9/11/2000,Partially cloudy,4
10/11/2000,Partially cloudy,4
11/11/2000,Partially cloudy,4
12/11/2000,Clear,4
13/11/2000,Clear,4
14/11/2000,Clear,4
15/11/2000,Clear,4
16/11/2000,Clear,4
17/11/2000,Clear,4
18/11/2000,Clear,4
19/11/2000,Clear,4
20/11/2000,Partially cloudy,4
21/11/2000,Partially cloudy,4
22/11/2000,Partially cloudy,4
23/11/2000,Clear,4
24/11/2000,Partially cloudy,4
25/11/2000,Clear,4
26/11/2000,Rain,4
27/11/2000,Partially cloudy,4
28/11/2000,Clear,4
29/11/2000,Partially cloudy,4
30/11/2000,Clear,4
1/12/2000,Partially cloudy,4
2/12/2000,Partially cloudy,4
3/12/2000,Clear,4
4/12/2000,"Rain, Partially cloudy",4
5/12/2000,Partially cloudy,4
6/12/2000,Partially cloudy,4
7/12/2000,Partially cloudy,4
8/12/2000,Partially cloudy,4
9/12/2000,Partially cloudy,4
10/12/2000,Partially cloudy,4
11/12/2000,Partially cloudy,4
12/12/2000,Partially cloudy,4
13/12/2000,Partially cloudy,4
14/12/2000,Partially cloudy,4
15/12/2000,Clear,4
16/12/2000,Clear,4
17/12/2000,Clear,4
18/12/2000,Clear,4
19/12/2000,Partially cloudy,4
20/12/2000,Partially cloudy,4
21/12/2000,Clear,4
22/12/2000,Clear,4
23/12/2000,Rain,4
24/12/2000,Partially cloudy,4
25/12/2000,Partially cloudy,4
26/12/2000,Clear,4
27/12/2000,Partially cloudy,4
28/12/2000,Clear,4
29/12/2000,Clear,4
30/12/2000,Partially cloudy,4
31/12/2000,Partially cloudy,4
1/1/2001,Partially cloudy,1
2/1/2001,Rain,1
3/1/2001,Clear,1
4/1/2001,Partially cloudy,1
5/1/2001,Partially cloudy,1
6/1/2001,Partially cloudy,1
7/1/2001,Partially cloudy,1
8/1/2001,"Rain, Partially cloudy",1
9/1/2001,"Rain, Partially cloudy",1
10/1/2001,"Rain, Partially cloudy",1
11/1/2001,"Rain, Partially cloudy",1
12/1/2001,"Rain, Partially cloudy",1
13/1/2001,Clear,1
14/1/2001,Clear,1
15/1/2001,Partially cloudy,1
16/1/2001,Clear,1
17/1/2001,Clear,1
18/1/2001,Partially cloudy,1
19/1/2001,Partially cloudy,1
20/1/2001,Clear,1
21/1/2001,Partially cloudy,1
22/1/2001,Partially cloudy,1
23/1/2001,Partially cloudy,1
24/1/2001,"Rain, Partially cloudy",1
25/1/2001,Partially cloudy,1
26/1/2001,"Rain, Partially cloudy",1
27/1/2001,Partially cloudy,1
28/1/2001,Partially cloudy,1
29/1/2001,Partially cloudy,1
30/1/2001,Clear,1
31/1/2001,Clear,1
1/2/2001,Clear,1
2/2/2001,Clear,1
3/2/2001,Clear,1
4/2/2001,Clear,1
5/2/2001,Partially cloudy,1
6/2/2001,Partially cloudy,1
7/2/2001,"Rain, Partially cloudy",1
8/2/2001,Clear,1
9/2/2001,Partially cloudy,1
10/2/2001,"Rain, Partially cloudy",1
11/2/2001,"Rain, Partially cloudy",1
12/2/2001,"Rain, Partially cloudy",1
13/2/2001,"Rain, Partially cloudy",1
14/2/2001,"Rain, Partially cloudy",1
15/2/2001,Clear,1
16/2/2001,Clear,1
17/2/2001,Partially cloudy,1
18/2/2001,"Rain, Partially cloudy",1
19/2/2001,"Rain, Partially cloudy",1
20/2/2001,Partially cloudy,1
21/2/2001,Partially cloudy,1
22/2/2001,Partially cloudy,1
23/2/2001,"Rain, Partially cloudy",1
24/2/2001,"Rain, Partially cloudy",1
25/2/2001,"Rain, Partially cloudy",1
26/2/2001,"Rain, Partially cloudy",1
27/2/2001,"Rain, Partially cloudy",1
28/2/2001,"Rain, Partially cloudy",1
1/3/2001,Clear,1
2/3/2001,Partially cloudy,1
3/3/2001,Partially cloudy,1
4/3/2001,"Rain, Partially cloudy",1
5/3/2001,"Rain, Partially cloudy",1
6/3/2001,"Rain, Partially cloudy",1
7/3/2001,"Rain, Partially cloudy",1
8/3/2001,Partially cloudy,1
9/3/2001,"Rain, Partially cloudy",1
10/3/2001,Partially cloudy,1
11/3/2001,Partially cloudy,1
12/3/2001,Partially cloudy,1
13/3/2001,Clear,1
14/3/2001,Partially cloudy,1
15/3/2001,Partially cloudy,1
16/3/2001,Partially cloudy,1
17/3/2001,Partially cloudy,1
18/3/2001,Clear,1
19/3/2001,Clear,1
20/3/2001,"Rain, Partially cloudy",1
21/3/2001,Partially cloudy,1
22/3/2001,Partially cloudy,1
23/3/2001,Partially cloudy,1
24/3/2001,Partially cloudy,1
25/3/2001,Partially cloudy,1
26/3/2001,Partially cloudy,1
27/3/2001,Partially cloudy,1
28/3/2001,Partially cloudy,1
29/3/2001,Partially cloudy,1
30/3/2001,Partially cloudy,1
31/3/2001,Partially cloudy,1
1/4/2001,Partially cloudy,2
2/4/2001,Partially cloudy,2
3/4/2001,Partially cloudy,2
4/4/2001,Partially cloudy,2
5/4/2001,Partially cloudy,2
6/4/2001,Partially cloudy,2
7/4/2001,"Rain, Partially cloudy",2
8/4/2001,Clear,2
9/4/2001,"Rain, Partially cloudy",2
10/4/2001,Partially cloudy,2
11/4/2001,Partially cloudy,2
12/4/2001,Partially cloudy,2
13/4/2001,Clear,2
14/4/2001,Clear,2
15/4/2001,Clear,2
16/4/2001,Clear,2
17/4/2001,Clear,2
